"CODE","NAME","VaccineCodeG","VaccineDoseG","TimeFirstShot","TimeLastShot","TimeFirstShotG","TimeLastShotG","TimeShotG","CoverageDTP1","CoverageDTP3"
"KHM","Cambodia","wP","3",1.37931034482759,3.2183908045977,"[1,2)","<1","[1,2) <1",0.92,0.85
"CMR","Cameroon","wP","3",1.37931034482759,3.2183908045977,"[1,2)","<1","[1,2) <1",0.75,0.68
"CAN","Canada","aP","6",2,192,"[2,3)","12+","[2,3) 12+",0.94,0.92
"CYM","Cayman Islands","aP","6",2,192,"[2,3)","12+","[2,3) 12+",NA,NA
"CAF","Central African Republic","wP","3",1.37931034482759,3.2183908045977,"[1,2)","<1","[1,2) <1",0.54,0.42
"TCD","Chad","wP","3",1.37931034482759,3.2183908045977,"[1,2)","<1","[1,2) <1",0.74,0.6
"CHL","Chile","aP","6",2,156,"[2,3)","12+","[2,3) 12+",0.99,0.96
"CHN","China","aP","4",3,18,"3+","[1,2)","3+ [1,2)",0.99,0.99
"HKG","China, Hong Kong SAR","aP","6",2,132,"[2,3)","[6,12)","[2,3) [6,12)",NA,NA
"MAC","China, Macao SAR","aP","6",2,144,"[2,3)","12+","[2,3) 12+",NA,NA
"COL","Colombia","wP","4",2,18,"[2,3)","[1,2)","[2,3) [1,2)",0.91,0.87
"COM","Comoros","wP","3",1.37931034482759,3.2183908045977,"[1,2)","<1","[1,2) <1",0.9,0.88
"COG","Congo","wP","3",1.83908045977012,3.67816091954023,"[1,2)","<1","[1,2) <1",0.82,0.78
"COK","Cook Islands","aP","4",1.37931034482759,48,"[1,2)","[2,6)","[1,2) [2,6)",0.91,0.72
"CRI","Costa Rica","aP","5",2,48,"[2,3)","[2,6)","[2,3) [2,6)",0.98,0.95
"CIV","Côte d'Ivoire","wP","3",1.37931034482759,3.2183908045977,"[1,2)","<1","[1,2) <1",0.85,0.76
"HRV","Croatia","aP","5",2,72,"[2,3)","[6,12)","[2,3) [6,12)",0.98,0.92
"CUB","Cuba","wP","4",2,18,"[2,3)","[1,2)","[2,3) [1,2)",0.99,0.99
"CUW","Curaçao","wP","4",2,15,"[2,3)","[1,2)","[2,3) [1,2)",NA,NA
"CYP","Cyprus","aP","6",2,144,"[2,3)","12+","[2,3) 12+",0.98,0.96
"CZE","Czechia","aP","5",3,120,"3+","[6,12)","3+ [6,12)",0.98,0.94
"PRK","Democratic People's Republic of Korea","wP","3",1.37931034482759,3.2183908045977,"[1,2)","<1","[1,2) <1",0.4,0
"COD","Democratic Republic of the Congo","wP","3",1.37931034482759,3.2183908045977,"[1,2)","<1","[1,2) <1",0.81,0.65
"DNK","Denmark","aP","4",3,60,"3+","[2,6)","3+ [2,6)",0.98,0.97
"DJI","Djibouti","wP","4",1.37931034482759,15,"[1,2)","[1,2)","[1,2) [1,2)",0.7,0.59
"DMA","Dominica","wP","5",2,36,"[2,3)","[2,6)","[2,3) [2,6)",0.95,0.92
"DOM","Dominican Republic","wP","5",2,48,"[2,3)","[2,6)","[2,3) [2,6)",0.99,0.88
"ECU","Ecuador","wP","5",2,60,"[2,3)","[2,6)","[2,3) [2,6)",0.74,0.7
"EGY","Egypt","wP","4",2,18,"[2,3)","[1,2)","[2,3) [1,2)",0.97,0.97
"SLV","El Salvador","Both","5",2,48,"[2,3)","[2,6)","[2,3) [2,6)",0.76,0.75
"GNQ","Equatorial Guinea","wP","4",1.37931034482759,18,"[1,2)","[1,2)","[1,2) [1,2)",0.77,0.53
"ERI","Eritrea","wP","3",1.37931034482759,3.2183908045977,"[1,2)","<1","[1,2) <1",0.97,0.95
"EST","Estonia","aP","5",3,192,"3+","12+","3+ 12+",0.86,0.85
"SWZ","Eswatini","wP","4",1.37931034482759,18,"[1,2)","[1,2)","[1,2) [1,2)",0.99,0.97
"ETH","Ethiopia","wP","3",1.37931034482759,3.2183908045977,"[1,2)","<1","[1,2) <1",0.7,0.65
"FJI","Fiji","wP","3",1.37931034482759,3.2183908045977,"[1,2)","<1","[1,2) <1",0.99,0.99
"FIN","Finland","aP","5",3,180,"3+","12+","3+ 12+",0.97,0.91
"FRA","France","aP","5",2,156,"[2,3)","12+","[2,3) 12+",0.99,0.96
"PYF","French Polynesia","aP","5",2,132,"[2,3)","[6,12)","[2,3) [6,12)",NA,NA
"GAB","Gabon","wP","3",1.37931034482759,3.2183908045977,"[1,2)","<1","[1,2) <1",0.65,0.6
"GMB","Gambia","wP","4",2,18,"[2,3)","[1,2)","[2,3) [1,2)",0.85,0.79
"GEO","Georgia","aP","5",2,60,"[2,3)","[2,6)","[2,3) [2,6)",0.95,0.85
"DEU","Germany","aP","5",2,192,"[2,3)","12+","[2,3) 12+",0.98,0.91
"GHA","Ghana","wP","3",1.37931034482759,3.2183908045977,"[1,2)","<1","[1,2) <1",0.99,0.99
"GRC","Greece","aP","6",2,144,"[2,3)","12+","[2,3) 12+",0.99,0.99
"GRD","Grenada","wP","4",1.37931034482759,18,"[1,2)","[1,2)","[1,2) [1,2)",0.79,0.77
"GUM","Guam","aP","6",2,132,"[2,3)","[6,12)","[2,3) [6,12)",NA,NA
"GTM","Guatemala","wP","5",2,48,"[2,3)","[2,6)","[2,3) [2,6)",0.92,0.79
"GIN","Guinea","wP","3",1.37931034482759,3.2183908045977,"[1,2)","<1","[1,2) <1",0.62,0.47
"GNB","Guinea-Bissau","wP","3",1.37931034482759,3.2183908045977,"[1,2)","<1","[1,2) <1",0.81,0.74
"GUY","Guyana","wP","3",2,6,"[2,3)","<1","[2,3) <1",0.98,0.98
"HTI","Haiti","wP","4",1.37931034482759,15,"[1,2)","[1,2)","[1,2) [1,2)",0.75,0.51
"HND","Honduras","wP","5",2,48,"[2,3)","[2,6)","[2,3) [2,6)",0.8,0.78
"HUN","Hungary","aP","6",2,132,"[2,3)","[6,12)","[2,3) [6,12)",0.99,0.99
"ISL","Iceland","aP","5",3,168,"3+","12+","3+ 12+",0.95,0.92
"IND","India","wP","5",1.37931034482759,72,"[1,2)","[6,12)","[1,2) [6,12)",0.95,0.93
"IDN","Indonesia","wP","4",2,18,"[2,3)","[1,2)","[2,3) [1,2)",0.87,0.85
"IRN","Iran (Islamic Republic of)","wP","5",2,72,"[2,3)","[6,12)","[2,3) [6,12)",0.99,0.99
"IRQ","Iraq","wP","5",2,72,"[2,3)","[6,12)","[2,3) [6,12)",0.99,0.93
"IRL","Ireland","aP","5",2,156,"[2,3)","12+","[2,3) 12+",0.97,0.93
"ISR","Israel","aP","6",2,156,"[2,3)","12+","[2,3) 12+",0.99,0.98
"ITA","Italy","aP","5",3,216,"3+","12+","3+ 12+",0.98,0.95
"JAM","Jamaica","wP","5",1.37931034482759,72,"[1,2)","[6,12)","[1,2) [6,12)",0.99,0.98
"JPN","Japan","aP","3",3,18,"3+","[1,2)","3+ [1,2)",0.99,0.99
"JOR","Jordan","Both","4",3,18,"3+","[1,2)","3+ [1,2)",0.78,0.77
"KAZ","Kazakhstan","aP","5",2,72,"[2,3)","[6,12)","[2,3) [6,12)",0.99,0.99
"KEN","Kenya","wP","3",1.37931034482759,3.2183908045977,"[1,2)","<1","[1,2) <1",0.95,0.9
"KIR","Kiribati","wP","4",1.37931034482759,72,"[1,2)","[6,12)","[1,2) [6,12)",0.96,0.91
"XKX","Kosovo (in accordance with UN Security Council resolution 1244 (1999))","wP","4",2,12,"[2,3)","[1,2)","[2,3) [1,2)",NA,NA
"KWT","Kuwait","wP","5",2,43.2,"[2,3)","[2,6)","[2,3) [2,6)",0.99,0.96
"KGZ","Kyrgyzstan","wP","3",2,24,"[2,3)","[2,6)","[2,3) [2,6)",0.9,0.9
"LAO","Lao People's Democratic Republic","wP","3",1.37931034482759,3.2183908045977,"[1,2)","<1","[1,2) <1",0.87,0.8
"LVA","Latvia","aP","6",2,168,"[2,3)","12+","[2,3) 12+",0.99,0.95
"LBN","Lebanon","wP","5",2,60,"[2,3)","[2,6)","[2,3) [2,6)",0.88,0.67
"LSO","Lesotho","wP","3",1.37931034482759,3.2183908045977,"[1,2)","<1","[1,2) <1",0.92,0.87
"LBR","Liberia","wP","3",1.37931034482759,3.2183908045977,"[1,2)","<1","[1,2) <1",0.93,0.78
"LBY","Libya","aP","6",2,180,"[2,3)","12+","[2,3) 12+",0.74,0.73
"LTU","Lithuania","aP","6",2,192,"[2,3)","12+","[2,3) 12+",0.93,0.9
"LUX","Luxembourg","aP","6",2,192,"[2,3)","12+","[2,3) 12+",0.99,0.99
"MDG","Madagascar","wP","3",1.37931034482759,3.2183908045977,"[1,2)","<1","[1,2) <1",0.66,0.57
"MWI","Malawi","wP","3",1.37931034482759,3.2183908045977,"[1,2)","<1","[1,2) <1",0.89,0.86
"MYS","Malaysia","aP","4",2,18,"[2,3)","[1,2)","[2,3) [1,2)",0.99,0.97
"MDV","Maldives","wP","4",2,48,"[2,3)","[2,6)","[2,3) [2,6)",0.99,0.99
"MLI","Mali","wP","3",1.37931034482759,3.2183908045977,"[1,2)","<1","[1,2) <1",0.82,0.77
"MLT","Malta","aP","4",2,18,"[2,3)","[1,2)","[2,3) [1,2)",0.99,0.98
"MHL","Marshall Islands","aP","6",2,144,"[2,3)","12+","[2,3) 12+",0.96,0.86
"MRT","Mauritania","wP","3",1.37931034482759,3.2183908045977,"[1,2)","<1","[1,2) <1",0.84,0.76
"MUS","Mauritius","Both","6",1.37931034482759,132,"[1,2)","[6,12)","[1,2) [6,12)",0.96,0.95
"MEX","Mexico","Both","5",2,48,"[2,3)","[2,6)","[2,3) [2,6)",0.93,0.83
"FSM","Micronesia (Federated States of)","aP","5",2,144,"[2,3)","12+","[2,3) 12+",0.92,0.69
"MCO","Monaco","aP","5",2,156,"[2,3)","12+","[2,3) 12+",0.99,0.99
"MNG","Mongolia","wP","3",2,4,"[2,3)","<1","[2,3) <1",0.97,0.95
"MNE","Montenegro","aP","5",2.06896551724138,72,"[2,3)","[6,12)","[2,3) [6,12)",0.93,0.8
"MSR","Montserrat","wP","4",2,18,"[2,3)","[1,2)","[2,3) [1,2)",NA,NA
"MAR","Morocco","wP","5",2,60,"[2,3)","[2,6)","[2,3) [2,6)",0.99,0.99
"MOZ","Mozambique","wP","3",2,4,"[2,3)","<1","[2,3) <1",0.67,0.61
"MMR","Myanmar","wP","4",2,18,"[2,3)","[1,2)","[2,3) [1,2)",0.81,0.71
"NAM","Namibia","wP","3",1.37931034482759,3.2183908045977,"[1,2)","<1","[1,2) <1",0.9,0.84
"NRU","Nauru","Both","5",1.37931034482759,48,"[1,2)","[2,6)","[1,2) [2,6)",0.99,0.98
"NPL","Nepal","wP","3",1.37931034482759,3.2183908045977,"[1,2)","<1","[1,2) <1",0.95,0.9
"NLD","Netherlands (Kingdom of the)","aP","4",3,48,"3+","[2,6)","3+ [2,6)",0.97,0.93
"NCL","New Caledonia","aP","5",2,132,"[2,3)","[6,12)","[2,3) [6,12)",NA,NA
"NZL","New Zealand","aP","5",1.37931034482759,156,"[1,2)","12+","[1,2) 12+",0.94,0.89
"NIC","Nicaragua","wP","5",2,72,"[2,3)","[6,12)","[2,3) [6,12)",0.94,0.92
"NER","Niger","wP","3",1.37931034482759,3.2183908045977,"[1,2)","<1","[1,2) <1",0.96,0.84
"NGA","Nigeria","wP","3",1.37931034482759,3.2183908045977,"[1,2)","<1","[1,2) <1",0.7,0.62
"NIU","Niue","aP","5",1.37931034482759,132,"[1,2)","[6,12)","[1,2) [6,12)",0.99,0.99
"MKD","North Macedonia","aP","5",2,84,"[2,3)","[6,12)","[2,3) [6,12)",0.92,0.84
"MNP","Northern Mariana Islands","aP","6",1.37931034482759,216,"[1,2)","12+","[1,2) 12+",NA,NA
"NOR","Norway","aP","5",3,180,"3+","12+","3+ 12+",0.98,0.97
"PSE","occupied Palestinian territory, including east Jerusalem","wP","4",2,18,"[2,3)","[1,2)","[2,3) [1,2)",0.99,0.98
"OMN","Oman","Both","4",2,18,"[2,3)","[1,2)","[2,3) [1,2)",0.99,0.99
"PAK","Pakistan","wP","3",1.37931034482759,3.2183908045977,"[1,2)","<1","[1,2) <1",0.93,0.85
"PLW","Palau","aP","6",2,120,"[2,3)","[6,12)","[2,3) [6,12)",0.99,0.94
"PAN","Panama","aP","6",2,120,"[2,3)","[6,12)","[2,3) [6,12)",0.98,0.87
"PNG","Papua New Guinea","wP","3",1,3,"[1,2)","<1","[1,2) <1",0.45,0.36
"PRY","Paraguay","Both","6",2,120,"[2,3)","[6,12)","[2,3) [6,12)",0.82,0.69
"PER","Peru","wP","5",2,48,"[2,3)","[2,6)","[2,3) [2,6)",0.93,0.82
"PHL","Philippines","wP","3",1.37931034482759,3.2183908045977,"[1,2)","<1","[1,2) <1",0.74,0.72
"POL","Poland","Both","6",1.60919540229885,168,"[1,2)","12+","[1,2) 12+",0.99,0.9
"PRT","Portugal","aP","5",2,60,"[2,3)","[2,6)","[2,3) [2,6)",0.99,0.99
"QAT","Qatar","aP","6",2,216,"[2,3)","12+","[2,3) 12+",0.99,0.98
"KOR","Republic of Korea","aP","6",2,144,"[2,3)","12+","[2,3) 12+",0.98,0.98
"MDA","Republic of Moldova","wP","4",2,24,"[2,3)","[2,6)","[2,3) [2,6)",0.89,0.88
"ROU","Romania","aP","5",2,168,"[2,3)","12+","[2,3) 12+",0.89,0.85
"RUS","Russian Federation","Both","3",3,18,"3+","[1,2)","3+ [1,2)",0.97,0.97
"RWA","Rwanda","wP","3",1.37931034482759,3.2183908045977,"[1,2)","<1","[1,2) <1",0.99,0.98
"KNA","Saint Kitts and Nevis","wP","4",2,60,"[2,3)","[2,6)","[2,3) [2,6)",0.96,0.96
"LCA","Saint Lucia","wP","5",2,60,"[2,3)","[2,6)","[2,3) [2,6)",0.92,0.81
"VCT","Saint Vincent and the Grenadines","wP","4",2,18,"[2,3)","[1,2)","[2,3) [1,2)",0.97,0.92
"WSM","Samoa","wP","4",1.37931034482759,15,"[1,2)","[1,2)","[1,2) [1,2)",0.97,0.76
"SMR","San Marino","aP","5",3,180,"3+","12+","3+ 12+",0.93,0.92
"STP","Sao Tome and Principe","wP","3",1.37931034482759,3.2183908045977,"[1,2)","<1","[1,2) <1",0.97,0.97
"SAU","Saudi Arabia","aP","5",2,72,"[2,3)","[6,12)","[2,3) [6,12)",0.98,0.98
"SEN","Senegal","wP","3",1.37931034482759,3.2183908045977,"[1,2)","<1","[1,2) <1",0.9,0.88
"SRB","Serbia","aP","5",1.83908045977012,84,"[1,2)","[6,12)","[1,2) [6,12)",0.97,0.92
"SYC","Seychelles","wP","4",3,18,"3+","[1,2)","3+ [1,2)",0.99,0.97
"SLE","Sierra Leone","wP","3",1.37931034482759,3.2183908045977,"[1,2)","<1","[1,2) <1",0.92,0.91
"SGP","Singapore","aP","5",2,132,"[2,3)","[6,12)","[2,3) [6,12)",0.99,0.97
"SXM","Sint Maarten (Dutch part)","aP","4",2,12,"[2,3)","[1,2)","[2,3) [1,2)",NA,NA
"SVK","Slovakia","aP","5",2,144,"[2,3)","12+","[2,3) 12+",0.97,0.97
"SVN","Slovenia","aP","4",3,96,"3+","[6,12)","3+ [6,12)",0.92,0.89
"SLB","Solomon Islands","wP","3",1.37931034482759,3.2183908045977,"[1,2)","<1","[1,2) <1",0.99,0.89
"SOM","Somalia","wP","3",1.37931034482759,3.2183908045977,"[1,2)","<1","[1,2) <1",0.52,0.42
"ZAF","South Africa","aP","4",1.37931034482759,18,"[1,2)","[1,2)","[1,2) [1,2)",0.87,0.85
"SSD","South Sudan","wP","3",1.37931034482759,3.2183908045977,"[1,2)","<1","[1,2) <1",0.76,0.73
"ESP","Spain","aP","4",2,72,"[2,3)","[6,12)","[2,3) [6,12)",0.98,0.93
"LKA","Sri Lanka","wP","4",2,18,"[2,3)","[1,2)","[2,3) [1,2)",0.98,0.98
"SDN","Sudan","wP","3",1.37931034482759,3.2183908045977,"[1,2)","<1","[1,2) <1",0.94,0.84
"SUR","Suriname","wP","5",2,60,"[2,3)","[2,6)","[2,3) [2,6)",0.83,0.77
"SWE","Sweden","aP","5",3,192,"3+","12+","3+ 12+",0.96,0.94
"CHE","Switzerland","aP","5",2,180,"[2,3)","12+","[2,3) 12+",0.97,0.96
"SYR","Syrian Arab Republic","wP","4",1.83908045977012,18,"[1,2)","[1,2)","[1,2) [1,2)",0.64,0.46
"TJK","Tajikistan","wP","4",2,23,"[2,3)","[1,2)","[2,3) [1,2)",0.98,0.97
"THA","Thailand","wP","4",2,48,"[2,3)","[2,6)","[2,3) [2,6)",0.99,0.97
"TLS","Timor-Leste","wP","4",1.37931034482759,18,"[1,2)","[1,2)","[1,2) [1,2)",0.87,0.86
"TGO","Togo","wP","3",1.37931034482759,3.2183908045977,"[1,2)","<1","[1,2) <1",0.88,0.82
"TKL","Tokelau","wP","4",1.37931034482759,60,"[1,2)","[2,6)","[1,2) [2,6)",NA,NA
"TON","Tonga","wP","5",1.37931034482759,60,"[1,2)","[2,6)","[1,2) [2,6)",0.99,0.99
"TTO","Trinidad and Tobago","wP","5",2,60,"[2,3)","[2,6)","[2,3) [2,6)",0.97,0.93
"TUN","Tunisia","wP","4",2,18,"[2,3)","[1,2)","[2,3) [1,2)",0.99,0.97
"TUR","Türkiye","aP","5",2,48,"[2,3)","[2,6)","[2,3) [2,6)",0.99,0.99
"TKM","Turkmenistan","wP","4",2,18,"[2,3)","[1,2)","[2,3) [1,2)",0.99,0.98
"TCA","Turks and Caicos Islands","wP","5",2,36,"[2,3)","[2,6)","[2,3) [2,6)",NA,NA
"TUV","Tuvalu","wP","4",1.37931034482759,72,"[1,2)","[6,12)","[1,2) [6,12)",0.99,0.91
"UGA","Uganda","wP","3",1.37931034482759,3.2183908045977,"[1,2)","<1","[1,2) <1",0.94,0.89
"UKR","Ukraine","wP","4",2,18,"[2,3)","[1,2)","[2,3) [1,2)",0.78,0.73
"ARE","United Arab Emirates","Both","6",2,192,"[2,3)","12+","[2,3) 12+",0.98,0.96
"GBR","United Kingdom of Great Britain and Northern Ireland","aP","4",1.83908045977012,40,"[1,2)","[2,6)","[1,2) [2,6)",0.97,0.92
"TZA","United Republic of Tanzania","wP","3",1.37931034482759,3.2183908045977,"[1,2)","<1","[1,2) <1",0.91,0.88
"USA","United States of America","aP","6",2,144,"[2,3)","12+","[2,3) 12+",0.98,0.94
"URY","Uruguay","Both","6",2,132,"[2,3)","[6,12)","[2,3) [6,12)",0.99,0.94
"UZB","Uzbekistan","wP","4",2,16,"[2,3)","[1,2)","[2,3) [1,2)",0.99,0.99
"VUT","Vanuatu","wP","3",1.37931034482759,3.2183908045977,"[1,2)","<1","[1,2) <1",0.83,0.68
"VEN","Venezuela (Bolivarian Republic of)","wP","5",2,60,"[2,3)","[2,6)","[2,3) [2,6)",0.73,0.56
"VNM","Viet Nam","wP","4",2,18,"[2,3)","[1,2)","[2,3) [1,2)",0.92,0.91
"WLF","Wallis and Futuna","aP","4",2,72,"[2,3)","[6,12)","[2,3) [6,12)",NA,NA
"YEM","Yemen","wP","5",1.37931034482759,84,"[1,2)","[6,12)","[1,2) [6,12)",0.85,0.74
"ZMB","Zambia","wP","3",1.37931034482759,3.2183908045977,"[1,2)","<1","[1,2) <1",0.86,0.82
"ZWE","Zimbabwe","wP","4",1.37931034482759,18,"[1,2)","[1,2)","[1,2) [1,2)",0.93,0.9
