"WHO_REGION","CODE","NAME","CoverageDTP1","CoverageDTP3","VaccinePregnant","VaccineAdult","VaccineRisk","TimeLastShot","TimeFirstShot","GENERALM","GENERALY","VaccineGeneral","VaccineCode","OutbreakSize2022","OutbreakSize2023","OutbreakSize","IncidencePre","IncidencePre25","IncidencePre75","IncidencePreIQR","Incidence2022","Change2022","Incidence2023","Change2023","Region","Income.group","VaccineAP","VaccineWP","Cluster"
"WPRO","AUS","Australia",0.98,0.94,1,0,0,150,2,"4","2","6","aP","Low","Low",0,504.6,497.6,680.55,182.95,18.3,0.04,92.4,0.18,"East Asia & Pacific","High income","TRUE","FALSE","High"
"EURO","AUT","Austria",0.91,0.84,0,0,0,84,2,"3","1","4","aP","Low","Resurgence",3,67.35,47.95,149.15,101.2,18.3,0.27,311.4,4.62,"Europe & Central Asia","High income","TRUE","FALSE","High"
"EURO","AZE","Azerbaijan",0.9,0.83,0,0,0,18,2,"4","0","4","wP","Low","Normal",1,0,0,1.3,1.3,0,1,0.3,301,"Europe & Central Asia","Upper middle income","FALSE","TRUE","Low"
"AMRO","BHS","Bahamas",0.98,0.87,1,0,0,144,2,"4","2","6","Both","Resurgence","Low",3,0,0,0,0,2.4,2401,0,1,"Latin America & Caribbean","High income","TRUE","TRUE","Low"
"EMRO","BHR","Bahrain",0.97,0.97,0,1,1,156,2,"4","2","6","Both","Low","Low",0,0.35,0,0.7,0.7,0,0,0,0,"Middle East & North Africa","High income","TRUE","TRUE","Mild"
"SEARO","BGD","Bangladesh",0.99,0.98,0,0,0,3.2183908045977,1.37931034482759,"3","0","3","wP","Low","Low",0,0.1,0,0.1,0.1,0,0.01,0,0.01,"South Asia","Lower middle income","FALSE","TRUE","Low"
"AMRO","BRB","Barbados",0.87,0.86,0,0,1,48,2,"4","1","5","wP","Low","Low",0,0,0,0,0,0,1,0,1,"Latin America & Caribbean","High income","FALSE","TRUE","Low"
"EURO","BLR","Belarus",0.98,0.98,0,0,1,18,2,"4","0","4","wP","Low","High",2,52.55,24.3,58,33.7,2.9,0.06,92.8,1.77,"Europe & Central Asia","Upper middle income","FALSE","TRUE","High"
"EURO","BEL","Belgium",0.98,0.98,1,1,0,180,1.83908045977012,"4","2","6","aP","Low","Normal",1,104.9,61.125,130.3,69.175,6.9,0.07,89.5,0.85,"Europe & Central Asia","High income","TRUE","FALSE","High"
"AMRO","BLZ","Belize",0.91,0.84,0,0,0,48,2,"4","1","5","wP","Low","Low",0,3.95,0,10.3,10.3,0,0,0,0,"Latin America & Caribbean","Upper middle income","FALSE","TRUE","Mild"
"AFRO","BEN","Benin",0.84,0.76,0,0,0,3.2183908045977,1.37931034482759,"3","0","3","wP","Low","Resurgence",3,0,0,0,0,0,1,0.1,101,"Sub-Saharan Africa","Lower middle income","FALSE","TRUE","Low"
"AMRO","BMU","Bermuda",NA,NA,1,0,0,174,2,"4","2","6","aP","Low","Low",0,31.5,31.4,31.55,0.149999999999999,15.6,0.5,15.6,0.5,"North America","High income","TRUE","FALSE","High"
"SEARO","BTN","Bhutan",0.98,0.98,0,0,0,24,1.37931034482759,"4","0","4","wP","Low","Low",0,2,0,9.2,9.2,0,0,0,0,"South Asia","Lower middle income","FALSE","TRUE","Mild"
"AMRO","BOL","Bolivia (Plurinational State of)",0.75,0.69,0,0,0,48,2,"4","1","5","wP","Resurgence","Resurgence",3,1.4,0.15,2.475,2.325,18.2,12.99,66.8,47.68,"Latin America & Caribbean","Lower middle income","FALSE","TRUE","Mild"
"EURO","BIH","Bosnia and Herzegovina",0.85,0.75,0,0,0,72,2,"4","1","5","aP","Low",NA,0,7.9,5.45,18.25,12.8,0,0,NA,NA,"Europe & Central Asia","Upper middle income","TRUE","FALSE","High"
"AFRO","BWA","Botswana",0.98,0.86,0,0,0,4,2,"3","0","3","wP","Low","Low",0,0,0,0,0,0,1,0,1,"Sub-Saharan Africa","Upper middle income","FALSE","TRUE","Low"
"AMRO","BRA","Brazil",0.84,0.77,0,1,1,48,2,"4","1","5","wP","Low","Low",0,11,7.2,22.9,15.7,1.1,0.1,1,0.09,"Latin America & Caribbean","Upper middle income","FALSE","TRUE","High"
"AMRO","VGB","British Virgin Islands",NA,NA,1,0,0,48,2,"4","1","5","wP","Low","Low",0,0,0,0,0,0,1,0,1,"Latin America & Caribbean","High income","FALSE","TRUE","Low"
"WPRO","BRN","Brunei Darussalam",0.99,0.99,0,0,0,60,2,"3","1","4","aP","Low","Low",0,2.5,0,7.4,7.4,0,0,0,0,"East Asia & Pacific","High income","TRUE","FALSE","Mild"
"EURO","BGR","Bulgaria",0.94,0.91,0,0,0,144,2,"4","2","6","aP","Low","Low",0,10.95,7.1,13.575,6.475,2.5,0.23,3,0.27,"Europe & Central Asia","Upper middle income","TRUE","FALSE","High"
"AFRO","BFA","Burkina Faso",0.95,0.91,0,0,0,3.67816091954023,1.83908045977012,"3","0","3","wP","Normal","Low",1,0.4,0.05,0.7,0.65,0.2,0.5,0,0,"Sub-Saharan Africa","Low income","FALSE","TRUE","Mild"
"AFRO","BDI","Burundi",0.93,0.91,0,0,0,18,1.37931034482759,"4","0","4","wP",NA,NA,NA,0,0,0,0,NA,NA,NA,NA,"Sub-Saharan Africa","Low income","FALSE","TRUE","Low"
"AFRO","CPV","Cabo Verde",0.97,0.93,0,0,0,18,2,"4","0","4","wP","Low","Low",0,0,0,0.475,0.475,0,1,0,1,"Sub-Saharan Africa","Lower middle income","FALSE","TRUE","Low"
"WPRO","KHM","Cambodia",0.92,0.85,0,0,0,3.2183908045977,1.37931034482759,"3","0","3","wP","Low","Low",0,1.2,0.6,1.4,0.8,0.1,0.08,0.5,0.42,"East Asia & Pacific","Lower middle income","FALSE","TRUE","Mild"
"AFRO","CMR","Cameroon",0.75,0.68,0,0,0,3.2183908045977,1.37931034482759,"3","0","3","wP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sub-Saharan Africa","Lower middle income","FALSE","TRUE","High"
"AMRO","CAN","Canada",0.94,0.92,1,1,0,162,2,"4","1","5","aP","Low","Low",0,56.55,37.775,105.475,67.7,5.4,0.1,37,0.65,"North America","High income","TRUE","FALSE","High"
"AMRO","CYM","Cayman Islands",NA,NA,1,0,0,180,2,"4","2","6","aP","Low","Low",0,0,0,0,0,0,1,0,1,"Latin America & Caribbean","High income","TRUE","FALSE","Low"
"AFRO","CAF","Central African Republic",0.54,0.42,0,0,0,3.2183908045977,1.37931034482759,"3","0","3","wP","Low","Normal",1,61.1,25.85,94.275,68.425,2.7,0.04,33.6,0.55,"Sub-Saharan Africa","Low income","FALSE","TRUE","High"
"AFRO","TCD","Chad",0.74,0.6,0,0,0,3.2183908045977,1.37931034482759,"3","0","3","wP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sub-Saharan Africa","Low income","FALSE","TRUE","Mild"
"AMRO","CHL","Chile",0.99,0.96,1,0,0,156,2,"4","2","6","aP","Low","Low",0,46.45,41.225,100.05,58.825,0,0,21.6,0.47,"Latin America & Caribbean","High income","TRUE","FALSE","High"
"WPRO","CHN","China",0.99,0.99,0,0,0,18,3,"4","0","4","aP","Resurgence","Resurgence",3,3.25,1.675,6.75,5.075,26.9,8.27,28.8,8.86,"East Asia & Pacific","Upper middle income","TRUE","FALSE","High"
"WPRO","HKG","China, Hong Kong SAR",NA,NA,1,0,0,132,2,"4","2","6","aP","Low","Low",0,4.15,2.9,8.6,5.7,0.4,0.1,2,0.48,"East Asia & Pacific","High income","TRUE","FALSE","High"
"WPRO","MAC","China, Macao SAR",NA,NA,1,0,1,138,2,"4","2","6","aP","Low","Normal",1,1.6,0,1.6,1.6,0,0,1.4,0.88,"East Asia & Pacific","High income","TRUE","FALSE","Mild"
"AMRO","COL","Colombia",0.91,0.87,1,0,1,18,2,"4","0","4","wP","Low","Low",0,13.5,7.875,21.95,14.075,2.1,0.16,1,0.07,"Latin America & Caribbean","Upper middle income","FALSE","TRUE","High"
"AFRO","COM","Comoros",0.9,0.88,0,0,0,3.2183908045977,1.37931034482759,"3","0","3","wP",NA,"Low",0,0,0,0,0,NA,NA,0,1,"Sub-Saharan Africa","Lower middle income","FALSE","TRUE","Low"
"AFRO","COG","Congo",0.82,0.78,0,0,0,3.67816091954023,1.83908045977012,"3","0","3","wP",NA,"Normal",1,0,0,2.5,2.5,NA,NA,0.2,201,"Sub-Saharan Africa","Lower middle income","FALSE","TRUE","Low"
"WPRO","COK","Cook Islands",0.91,0.72,0,0,0,48,1.37931034482759,"3","1","4","aP",NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,"Low income","TRUE","FALSE","Low"
"AMRO","CRI","Costa Rica",0.98,0.95,1,0,1,48,2,"4","1","5","aP","Low","Low",0,10.8,6.575,14.575,8,1,0.09,4.2,0.39,"Latin America & Caribbean","Upper middle income","TRUE","FALSE","High"
"AFRO","CIV","Côte d'Ivoire",0.85,0.76,0,0,0,3.2183908045977,1.37931034482759,"3","0","3","wP",NA,"Resurgence",3,0.2,0.1,3.45,3.35,NA,NA,32.1,159.71,"Sub-Saharan Africa","Lower middle income","FALSE","TRUE","Mild"
"EURO","HRV","Croatia",0.98,0.92,0,0,0,72,2,"4","1","5","aP","Low",NA,0,19.1,13.6,25.1,11.5,0.5,0.03,NA,NA,"Europe & Central Asia","High income","TRUE","FALSE","High"
"AMRO","CUB","Cuba",0.99,0.99,0,0,1,18,2,"4","0","4","wP","Low","Low",0,0,0,0,0,0,1,0,1,"Latin America & Caribbean","Upper middle income","FALSE","TRUE","Low"
"AMRO","CUW","Curaçao",NA,NA,0,0,0,15,2,"4","0","4","wP",NA,NA,NA,11.35,8.275,14.425,6.15,NA,NA,NA,NA,"Latin America & Caribbean","High income","FALSE","TRUE","High"
"EURO","CYP","Cyprus",0.98,0.96,1,1,0,138,2.5,"4","2","6","aP","Low","Low",0,1.7,1.625,7.25,5.625,0,0,1.6,0.94,"Europe & Central Asia","High income","TRUE","FALSE","Mild"
"EURO","CZE","Czechia",0.98,0.94,0,0,0,120,3,"3","2","5","aP","Low","Low",0,66.75,60.525,105.825,45.3,9,0.13,47.1,0.71,"Europe & Central Asia","High income","TRUE","FALSE","High"
"SEARO","PRK","Democratic People's Republic of Korea",0.4,0,0,0,0,3.2183908045977,1.37931034482759,"3","0","3","wP","Low",NA,0,0,0,0,0,0,1,NA,NA,"East Asia & Pacific","Low income","FALSE","TRUE","Low"
"AFRO","COD","Democratic Republic of the Congo",0.81,0.65,0,0,0,3.2183908045977,1.37931034482759,"3","0","3","wP","Normal","Normal",1,15.2,0,32.5,32.5,27.8,1.83,5.9,0.39,"Sub-Saharan Africa","Low income","FALSE","TRUE","Mild"
"EURO","DNK","Denmark",0.98,0.97,1,0,0,60,3,"3","1","4","aP","Low",NA,0,172.2,102.325,185.875,83.55,8.8,0.05,NA,NA,"Europe & Central Asia","High income","TRUE","FALSE","High"
"EMRO","DJI","Djibouti",0.7,0.59,0,0,0,15,1.37931034482759,"4","0","4","wP","Low","Low",0,0,0,0,0,0,1,0,1,"Middle East & North Africa","Lower middle income","FALSE","TRUE","Low"
"AMRO","DMA","Dominica",0.95,0.92,0,0,0,36,2,"3","1","4","wP","Low","Low",0,0,0,0,0,0,1,0,1,"Latin America & Caribbean","Upper middle income","FALSE","TRUE","Low"
"AMRO","DOM","Dominican Republic",0.99,0.88,1,0,1,48,2,"4","1","5","wP","Low","Low",0,3.85,1.9,8.775,6.875,0.4,0.1,1.4,0.36,"Latin America & Caribbean","Upper middle income","FALSE","TRUE","High"
"AMRO","ECU","Ecuador",0.74,0.7,0,0,0,60,2,"4","1","5","wP","High","Resurgence",3,1.4,0.45,3.025,2.575,3.2,2.28,10.2,7.28,"Latin America & Caribbean","Upper middle income","FALSE","TRUE","Mild"
"EMRO","EGY","Egypt",0.97,0.97,0,0,0,18,2,"4","0","4","wP","Low","Low",0,0,0,0,0,0,1,0,1,"Middle East & North Africa","Lower middle income","FALSE","TRUE","Low"
"AMRO","SLV","El Salvador",0.76,0.75,1,0,1,48,2,"4","1","5","Both","Low","Low",0,1.1,0.35,2.025,1.675,0,0,0,0,"Latin America & Caribbean","Upper middle income","TRUE","TRUE","Mild"
"AFRO","GNQ","Equatorial Guinea",0.77,0.53,0,0,0,18,1.37931034482759,"4","0","4","wP",NA,NA,NA,0,0,0,0,NA,NA,NA,NA,"Sub-Saharan Africa","Upper middle income","FALSE","TRUE","Low"
"AFRO","ERI","Eritrea",0.97,0.95,0,0,0,3.2183908045977,1.37931034482759,"3","0","3","wP","Low","Low",0,9.3,0,28.4,28.4,0,0,0,0,"Sub-Saharan Africa","Low income","FALSE","TRUE","Mild"
"EURO","EST","Estonia",0.86,0.85,0,0,0,186,3,"3","3","6","aP","Low","Low",0,57.4,44.925,109.875,64.95,6,0.1,22.7,0.4,"Europe & Central Asia","High income","TRUE","FALSE","High"
"AFRO","SWZ","Eswatini",0.99,0.97,0,0,0,18,1.37931034482759,"4","0","4","wP","Low",NA,0,0,0,0,0,0,1,NA,NA,"Sub-Saharan Africa","Lower middle income","FALSE","TRUE","Low"
"AFRO","ETH","Ethiopia",0.7,0.65,0,0,0,3.2183908045977,1.37931034482759,"3","0","3","wP","Low","Low",0,21.8,21.8,21.8,0,0,0,12.7,0.58,"Sub-Saharan Africa","Low income","FALSE","TRUE","High"
"WPRO","FJI","Fiji",0.99,0.99,0,0,0,3.2183908045977,1.37931034482759,"3","0","3","wP","Low","Resurgence",3,0,0,0,0,0,1,2.1,2101,"East Asia & Pacific","Upper middle income","FALSE","TRUE","Low"
"EURO","FIN","Finland",0.97,0.91,0,1,0,174,3,"3","2","5","aP","Low","Low",0,75.5,55.775,90.1,34.325,6.3,0.08,21.6,0.29,"Europe & Central Asia","High income","TRUE","FALSE","High"
"EURO","FRA","France",0.99,0.96,1,1,0,156,2,"3","2","5","aP","Low","Low",0,1.3,0.9,2.4,1.5,0.7,0.54,0.6,0.46,"Europe & Central Asia","High income","TRUE","FALSE","Mild"
"WPRO","PYF","French Polynesia",NA,NA,0,0,0,132,2,"3","2","5","aP","Low",NA,0,42.3,21.15,83.3,62.15,0,0,NA,NA,"East Asia & Pacific","High income","TRUE","FALSE","High"
"AFRO","GAB","Gabon",0.65,0.6,0,0,0,3.2183908045977,1.37931034482759,"3","0","3","wP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sub-Saharan Africa","Upper middle income","FALSE","TRUE","High"
"AFRO","GMB","Gambia",0.85,0.79,0,0,0,18,2,"4","0","4","wP","Low","Low",0,0,0,0,0,0,1,0,1,"Sub-Saharan Africa","Low income","FALSE","TRUE","Low"
"EURO","GEO","Georgia",0.95,0.85,0,0,0,60,2,"4","1","5","aP","Low","Normal",1,39.25,26.275,76.225,49.95,10.7,0.27,31.4,0.8,"Europe & Central Asia","Upper middle income","TRUE","FALSE","High"
"EURO","DEU","Germany",0.98,0.91,0,1,0,150,2,"4","2","6","aP","Low",NA,0,152.75,130.375,164.7,34.325,14.21,0.09,NA,NA,"Europe & Central Asia","High income","TRUE","FALSE","High"
"AFRO","GHA","Ghana",0.99,0.99,0,0,0,3.2183908045977,1.37931034482759,"3","0","3","wP","Low","Low",0,0.5,0,1.975,1.975,0,0,0,0,"Sub-Saharan Africa","Lower middle income","FALSE","TRUE","Mild"
"EURO","GRC","Greece",0.99,0.99,0,1,0,138,2,"4","2","6","aP","Low","Low",0,2.25,1.65,4.775,3.125,0.1,0.04,0.9,0.4,"Europe & Central Asia","High income","TRUE","FALSE","High"
"AMRO","GRD","Grenada",0.79,0.77,0,0,0,18,1.37931034482759,"4","0","4","wP","Low",NA,0,0,0,0,0,0,1,NA,NA,"Latin America & Caribbean","Upper middle income","FALSE","TRUE","Low"
"WPRO","GUM","Guam",NA,NA,1,1,0,132,2,"4","1","5","aP",NA,"Low",0,6,0,32.65,32.65,NA,NA,0,0,"East Asia & Pacific","High income","TRUE","FALSE","Mild"
"AMRO","GTM","Guatemala",0.92,0.79,1,0,1,48,2,"4","1","5","wP","Low","Low",0,3.6,1.75,4.9,3.15,0,0,0,0,"Latin America & Caribbean","Upper middle income","FALSE","TRUE","Mild"
"AFRO","GIN","Guinea",0.62,0.47,0,0,0,3.2183908045977,1.37931034482759,"3","0","3","wP","Resurgence",NA,3,0,0,0,0,0.5,501,NA,NA,"Sub-Saharan Africa","Lower middle income","FALSE","TRUE","Low"
"AFRO","GNB","Guinea-Bissau",0.81,0.74,0,0,0,3.2183908045977,1.37931034482759,"3","0","3","wP","Low","Low",0,0,0,0,0,0,1,0,1,"Sub-Saharan Africa","Low income","FALSE","TRUE","Low"
"AMRO","GUY","Guyana",0.98,0.98,0,0,0,6,2,"3","0","3","wP","Low","Low",0,0,0,0,0,0,1,0,1,"Latin America & Caribbean","High income","FALSE","TRUE","Low"
"AMRO","HTI","Haiti",0.75,0.51,0,0,0,15,1.37931034482759,"4","0","4","wP","Low","Normal",1,0,0,0.4,0.4,0,1,0.3,301,"Latin America & Caribbean","Lower middle income","FALSE","TRUE","Low"
"AMRO","HND","Honduras",0.8,0.78,1,0,1,48,2,"4","1","5","wP","Low","Low",0,7.7,4.75,15.275,10.525,0,0,0.2,0.03,"Latin America & Caribbean","Lower middle income","FALSE","TRUE","High"
"EURO","HUN","Hungary",0.99,0.99,0,0,0,132,2,"4","2","6","aP","Low","Low",0,1.2,0.625,2,1.375,0.2,0.17,0.2,0.17,"Europe & Central Asia","High income","TRUE","FALSE","Mild"
"EURO","ISL","Iceland",0.95,0.92,1,0,0,168,3,"3","2","5","aP","Low","Low",0,31.95,5.35,52.1,46.75,0,0,0,0,"Europe & Central Asia","High income","TRUE","FALSE","High"
"SEARO","IND","India",0.95,0.93,0,0,0,66,1.37931034482759,"4","1","5","wP","Low",NA,0,25.95,17.9,32.3,14.4,3.1,0.12,NA,NA,"South Asia","Lower middle income","FALSE","TRUE","High"
"SEARO","IDN","Indonesia",0.87,0.85,0,0,0,18,2,"4","0","4","wP","Low","Normal",1,3.9,1.65,8,6.35,1.5,0.38,7.8,2,"East Asia & Pacific","Upper middle income","FALSE","TRUE","High"
"EMRO","IRN","Iran (Islamic Republic of)",0.99,0.99,0,0,0,72,2,"4","1","5","wP","Low","Low",0,3.35,1.5,7.925,6.425,0.7,0.21,0.5,0.15,"Middle East & North Africa","Lower middle income","FALSE","TRUE","High"
"EMRO","IRQ","Iraq",0.99,0.93,0,0,0,60,2,"4","1","5","wP","Low","Low",0,40.25,24.625,64.425,39.8,1.8,0.04,15.9,0.4,"Middle East & North Africa","Upper middle income","FALSE","TRUE","High"
"EURO","IRL","Ireland",0.97,0.93,1,0,1,150,2,"3","2","5","aP","Low","Low",0,35.9,24.475,49.1,24.625,1.4,0.04,3.6,0.1,"Europe & Central Asia","High income","TRUE","FALSE","High"
"EURO","ISR","Israel",0.99,0.98,1,0,1,156,2,"4","2","6","aP",NA,NA,NA,186.15,147.5,297.4,149.9,NA,NA,NA,NA,"Middle East & North Africa","High income","TRUE","FALSE","High"
"EURO","ITA","Italy",0.98,0.95,1,1,0,180,3,"3","2","5","aP","Low",NA,0,4.35,3.25,7.625,4.375,0.1,0.02,NA,NA,"Europe & Central Asia","High income","TRUE","FALSE","High"
"AMRO","JAM","Jamaica",0.99,0.98,0,0,0,60,1.37931034482759,"4","1","5","wP","Low",NA,0,0,0,0.3,0.3,0,1,NA,NA,"Latin America & Caribbean","Upper middle income","FALSE","TRUE","Low"
"WPRO","JPN","Japan",0.99,0.99,0,0,0,18,3,"4","0","4","aP","Low","Low",0,27.85,17.4,40.225,22.825,2.86,0.1,6.65,0.24,"East Asia & Pacific","High income","TRUE","FALSE","High"
"EMRO","JOR","Jordan",0.78,0.77,0,0,0,18,3,"4","0","4","Both","Normal","Normal",1,0.5,0.1,0.675,0.575,0.4,0.8,0.4,0.8,"Middle East & North Africa","Lower middle income","TRUE","TRUE","Mild"
"EURO","KAZ","Kazakhstan",0.99,0.99,0,0,0,72,2,"4","1","5","aP","Low",NA,0,2.45,1.875,4.05,2.175,0.2,0.08,NA,NA,"Europe & Central Asia","Upper middle income","TRUE","FALSE","High"
"AFRO","KEN","Kenya",0.95,0.9,0,0,0,3.2183908045977,1.37931034482759,"3","0","3","wP",NA,NA,NA,0.1,0.1,0.1,0,NA,NA,NA,NA,"Sub-Saharan Africa","Lower middle income","FALSE","TRUE","Low"
"WPRO","KIR","Kiribati",0.96,0.91,0,0,0,72,1.37931034482759,"3","1","4","wP","Low","Resurgence",3,0,0,0,0,0,1,22.5,22501,"East Asia & Pacific","Lower middle income","FALSE","TRUE","Low"
"EURO","XKX","Kosovo (in accordance with UN Security Council resolution 1244 (1999))",NA,NA,0,0,0,12,2,"4","0","4","wP",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,"Europe & Central Asia","Upper middle income","FALSE","TRUE","Low"
"EMRO","KWT","Kuwait",0.99,0.96,0,0,0,36,2,"4","1","5","wP","Low","Low",0,8.6,7.6,12.675,5.075,3.3,0.38,3.2,0.37,"Middle East & North Africa","High income","FALSE","TRUE","High"
"EURO","KGZ","Kyrgyzstan",0.9,0.9,0,0,0,24,2,"3","1","4","wP","Low","Resurgence",3,23.1,15.25,41.525,26.275,10,0.43,288.8,12.5,"Europe & Central Asia","Lower middle income","FALSE","TRUE","High"
"WPRO","LAO","Lao People's Democratic Republic",0.87,0.8,0,0,0,3.2183908045977,1.37931034482759,"3","0","3","wP","Low","Normal",1,15.9,5.9,40.7,34.8,0,0,8.6,0.54,"East Asia & Pacific","Lower middle income","FALSE","TRUE","High"
"EURO","LVA","Latvia",0.99,0.95,1,0,1,168,2,"4","2","6","aP","Low","Normal",1,90.5,42.375,120.175,77.8,24.9,0.28,60.6,0.67,"Europe & Central Asia","High income","TRUE","FALSE","High"
"EMRO","LBN","Lebanon",0.88,0.67,0,0,0,54,2,"4","1","5","wP",NA,"High",2,10.2,4.925,12.825,7.9,NA,NA,18.9,1.85,"Middle East & North Africa","Lower middle income","FALSE","TRUE","High"
"AFRO","LSO","Lesotho",0.92,0.87,0,0,0,3.2183908045977,1.37931034482759,"3","0","3","wP",NA,NA,NA,0,0,0,0,NA,NA,NA,NA,"Sub-Saharan Africa","Lower middle income","FALSE","TRUE","Low"
"AFRO","LBR","Liberia",0.93,0.78,0,0,0,3.2183908045977,1.37931034482759,"3","0","3","wP","Low",NA,0,0,0,8.2,8.2,0,1,NA,NA,"Sub-Saharan Africa","Low income","FALSE","TRUE","Mild"
"EMRO","LBY","Libya",0.74,0.73,0,0,0,180,2,"4","2","6","aP","Normal","High",2,76.3,54.95,108.4,53.45,61.9,0.81,111.9,1.47,"Middle East & North Africa","Upper middle income","TRUE","FALSE","High"
"EURO","LTU","Lithuania",0.93,0.9,0,0,0,186,2,"4","2","6","aP","Low","Low",0,11,9.175,21.175,12,0.7,0.06,2.6,0.24,"Europe & Central Asia","High income","TRUE","FALSE","High"
"EURO","LUX","Luxembourg",0.99,0.99,0,0,0,186,2,"4","2","6","aP","Low","High",2,12,7.7,18.8,11.1,4.6,0.38,27.5,2.29,"Europe & Central Asia","High income","TRUE","FALSE","High"
"AFRO","MDG","Madagascar",0.66,0.57,0,0,0,3.2183908045977,1.37931034482759,"3","0","3","wP","High","Normal",2,6.7,0.8,12.6,11.8,12.7,1.9,4.1,0.61,"Sub-Saharan Africa","Low income","FALSE","TRUE","Mild"
"AFRO","MWI","Malawi",0.89,0.86,0,0,0,3.2183908045977,1.37931034482759,"3","0","3","wP",NA,NA,NA,0,0,0,0,NA,NA,NA,NA,"Sub-Saharan Africa","Low income","FALSE","TRUE","Low"
"WPRO","MYS","Malaysia",0.99,0.97,0,0,0,18,2,"4","0","4","aP","Low","High",2,10.25,7.675,24.7,17.025,3,0.29,35.1,3.42,"East Asia & Pacific","Upper middle income","TRUE","FALSE","High"
"SEARO","MDV","Maldives",0.99,0.99,0,0,0,48,2,"3","1","4","wP","Low","Low",0,0,0,0,0,0,1,0,1,"South Asia","Upper middle income","FALSE","TRUE","Low"
"AFRO","MLI","Mali",0.82,0.77,0,0,0,3.2183908045977,1.37931034482759,"3","0","3","wP","Low","Low",0,0,0,0,0,0,1,0,1,"Sub-Saharan Africa","Low income","FALSE","TRUE","Low"
"EURO","MLT","Malta",0.99,0.98,0,0,0,18,2,"4","0","4","aP","Low","Normal",1,7.5,1.65,18.825,17.175,0,0,5.6,0.75,"Middle East & North Africa","High income","TRUE","FALSE","Mild"
"WPRO","MHL","Marshall Islands",0.96,0.86,0,0,0,138,2,"4","2","6","aP","Low",NA,0,0,0,0,0,0,1,NA,NA,"East Asia & Pacific","Upper middle income","TRUE","FALSE","Low"
"AFRO","MRT","Mauritania",0.84,0.76,0,0,0,3.2183908045977,1.37931034482759,"3","0","3","wP","Low",NA,0,0,0,0,0,0,1,NA,NA,"Sub-Saharan Africa","Lower middle income","FALSE","TRUE","Low"
"AFRO","MUS","Mauritius",0.96,0.95,1,0,0,132,1.37931034482759,"4","2","6","Both","Low",NA,0,0,0,0.6,0.6,0,1,NA,NA,"Sub-Saharan Africa","Upper middle income","TRUE","TRUE","Mild"
