Area,Date,Year,Week,Disease,Cases,URL
UK,2023/12/4,2023,49,pertussis,88,https://www.gov.uk/government/publications/notifiable-diseases-last-52-weeks
UK,2023/12/11,2023,50,pertussis,169,https://www.gov.uk/government/publications/notifiable-diseases-last-52-weeks
UK,2023/12/18,2023,51,pertussis,160,https://www.gov.uk/government/publications/notifiable-diseases-last-52-weeks
UK,2023/12/25,2023,52,pertussis,127,https://www.gov.uk/government/publications/notifiable-diseases-last-52-weeks
UK,2024/1/1,2024,1,pertussis,167,https://www.gov.uk/government/publications/notifiable-diseases-last-52-weeks
UK,2024/1/8,2024,2,pertussis,227,https://www.gov.uk/government/publications/notifiable-diseases-last-52-weeks
UK,2024/1/15,2024,3,pertussis,267,https://www.gov.uk/government/publications/notifiable-diseases-last-52-weeks
UK,2024/1/22,2024,4,pertussis,345,https://www.gov.uk/government/publications/notifiable-diseases-last-52-weeks
UK,2024/1/29,2024,5,pertussis,457,https://www.gov.uk/government/publications/notifiable-diseases-last-52-weeks
UK,2024/2/5,2024,6,pertussis,442,https://www.gov.uk/government/publications/notifiable-diseases-last-52-weeks
UK,2024/2/12,2024,7,pertussis,426,https://www.gov.uk/government/publications/notifiable-diseases-last-52-weeks
UK,2024/2/19,2024,8,pertussis,388,https://www.gov.uk/government/publications/notifiable-diseases-last-52-weeks
UK,2024/2/26,2024,9,pertussis,487,https://www.gov.uk/government/publications/notifiable-diseases-last-52-weeks
UK,2024/3/4,2024,10,pertussis,477,https://www.gov.uk/government/publications/notifiable-diseases-last-52-weeks
